message_id,conversation_id,timestamp,direction,sender_type,text
msg_00422,conv_0086,2026-06-02 10:08:00,incoming,client,"Здравствуйте. Нужно записаться на Window tinting, машина Volkswagen Tiguan."
msg_00423,conv_0086,2026-06-02 10:11:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00424,conv_0086,2026-06-02 10:28:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00425,conv_0086,2026-06-02 10:30:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_01091,conv_0222,2026-06-02 12:29:00,incoming,client,"Здравствуйте. Нужно перенести запись, не успеваю приехать."
msg_01092,conv_0222,2026-06-02 12:32:00,outgoing,bot,"Понял. Я передам менеджеру запрос на перенос, он проверит запись и подтвердит."
msg_00027,conv_0006,2026-06-02 12:33:00,incoming,client,"Здравствуйте. Нужно записаться на PPF elements, машина Audi A6."
msg_00028,conv_0006,2026-06-02 12:36:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_01093,conv_0222,2026-06-02 12:49:00,incoming,client,"Хорошо, жду менеджера."
msg_01094,conv_0222,2026-06-02 12:51:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_00029,conv_0006,2026-06-02 12:53:00,incoming,client,"Хорошо, жду менеджера."
msg_00030,conv_0006,2026-06-02 12:55:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00031,conv_0006,2026-06-02 12:57:00,incoming,client,"Хорошо, жду менеджера."
msg_00032,conv_0006,2026-06-02 12:59:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_00511,conv_0105,2026-06-02 14:19:00,incoming,client,"Здравствуйте. Нужно записаться на Interior dry cleaning, машина BMW X5."
msg_00512,conv_0105,2026-06-02 14:22:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00513,conv_0105,2026-06-02 14:39:00,incoming,client,"Понял, спасибо."
msg_00514,conv_0105,2026-06-02 14:41:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_00515,conv_0105,2026-06-02 14:43:00,incoming,client,"Отлично, тогда на связи."
msg_00516,conv_0105,2026-06-02 14:45:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00632,conv_0129,2026-06-02 14:55:00,incoming,client,Добрый день. Сколько примерно стоит Window tinting на Mercedes-Benz E-Class?
msg_00633,conv_0129,2026-06-02 14:58:00,outgoing,bot,"Сориентирую по цене, но сначала уточню авто и объём работ."
msg_00365,conv_0074,2026-06-02 15:07:00,incoming,client,"Здравствуйте. Нужно записаться на Chrome delete, машина Hyundai Santa Fe."
msg_00366,conv_0074,2026-06-02 15:10:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00634,conv_0129,2026-06-02 15:15:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00635,conv_0129,2026-06-02 15:17:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_00636,conv_0129,2026-06-02 15:19:00,incoming,client,"Отлично, тогда на связи."
msg_00367,conv_0074,2026-06-02 15:27:00,incoming,client,"Понял, спасибо."
msg_00368,conv_0074,2026-06-02 15:29:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_00257,conv_0052,2026-06-02 16:36:00,incoming,client,"Здравствуйте. Нужно записаться на PPF elements, машина Geely Monjaro."
msg_00258,conv_0052,2026-06-02 16:39:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00259,conv_0052,2026-06-02 16:56:00,incoming,client,"Хорошо, жду менеджера."
msg_00858,conv_0174,2026-06-02 16:57:00,incoming,client,Добрый день. Сколько примерно стоит PPF elements на Honda Accord 8?
msg_00260,conv_0052,2026-06-02 16:58:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_00261,conv_0052,2026-06-02 17:00:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00859,conv_0174,2026-06-02 17:00:00,outgoing,bot,"Сориентирую по цене, но сначала уточню авто и объём работ."
msg_00860,conv_0174,2026-06-02 17:17:00,incoming,client,"Понял, спасибо."
msg_00861,conv_0174,2026-06-02 17:19:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00862,conv_0174,2026-06-02 17:21:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00863,conv_0174,2026-06-02 17:23:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_00922,conv_0187,2026-06-02 18:11:00,incoming,client,"Здравствуйте. Подскажите, вы работаете в воскресенье?"
msg_00923,conv_0187,2026-06-02 18:14:00,outgoing,bot,"Да, работаем в воскресенье по предварительной записи."
msg_00924,conv_0187,2026-06-02 18:31:00,incoming,client,"Отлично, тогда на связи."
msg_00925,conv_0187,2026-06-02 18:33:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00926,conv_0187,2026-06-02 18:35:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00927,conv_0187,2026-06-02 18:37:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_01070,conv_0218,2026-06-02 18:58:00,incoming,client,"Здравствуйте. Нужно перенести запись, не успеваю приехать."
msg_01071,conv_0218,2026-06-02 19:01:00,outgoing,bot,"Понял. Я передам менеджеру запрос на перенос, он проверит запись и подтвердит."
msg_00202,conv_0041,2026-06-02 19:02:00,incoming,client,"Здравствуйте. Нужно записаться на Ceramic coating, машина Range Rover Sport."
msg_00203,conv_0041,2026-06-02 19:05:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_01072,conv_0218,2026-06-02 19:18:00,incoming,client,"Хорошо, жду менеджера."
msg_01073,conv_0218,2026-06-02 19:20:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_00204,conv_0041,2026-06-02 19:22:00,incoming,client,"Спасибо, подумаю и напишу."
msg_01074,conv_0218,2026-06-02 19:22:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00205,conv_0041,2026-06-02 19:24:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00206,conv_0041,2026-06-02 19:26:00,incoming,client,"Понял, спасибо."
msg_00005,conv_0002,2026-06-02 19:57:00,incoming,client,"Здравствуйте. Нужно записаться на Chrome delete, машина Toyota Camry."
msg_00006,conv_0002,2026-06-02 20:00:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00007,conv_0002,2026-06-02 20:17:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00008,conv_0002,2026-06-02 20:19:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_00009,conv_0002,2026-06-02 20:21:00,incoming,client,"Понял, спасибо."
msg_00381,conv_0078,2026-06-03 09:10:00,incoming,client,"Здравствуйте. Нужно записаться на Interior dry cleaning, машина Range Rover Sport."
msg_00382,conv_0078,2026-06-03 09:13:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_01056,conv_0215,2026-06-03 09:26:00,incoming,client,"Здравствуйте. Нужно перенести запись, не успеваю приехать."
msg_01057,conv_0215,2026-06-03 09:29:00,outgoing,bot,"Понял. Я передам менеджеру запрос на перенос, он проверит запись и подтвердит."
msg_00383,conv_0078,2026-06-03 09:30:00,incoming,client,"Отлично, тогда на связи."
msg_00384,conv_0078,2026-06-03 09:32:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_01058,conv_0215,2026-06-03 09:46:00,incoming,client,"Отлично, тогда на связи."
msg_01059,conv_0215,2026-06-03 09:48:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_01060,conv_0215,2026-06-03 09:50:00,incoming,client,"Хорошо, жду менеджера."
msg_00618,conv_0126,2026-06-03 12:19:00,incoming,client,Добрый день. Сколько примерно стоит Chrome delete на Lexus RX?
msg_00619,conv_0126,2026-06-03 12:22:00,outgoing,bot,"Сориентирую по цене, но сначала уточню авто и объём работ."
msg_00620,conv_0126,2026-06-03 12:39:00,incoming,client,"Понял, спасибо."
msg_00621,conv_0126,2026-06-03 12:41:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00622,conv_0127,2026-06-03 12:43:00,incoming,client,Добрый день. Сколько примерно стоит Window tinting на BMW X5?
msg_00623,conv_0127,2026-06-03 12:46:00,outgoing,bot,"Сориентирую по цене, но сначала уточню авто и объём работ."
msg_00624,conv_0127,2026-06-03 13:03:00,incoming,client,"Хорошо, жду менеджера."
msg_00625,conv_0127,2026-06-03 13:05:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00207,conv_0042,2026-06-03 14:15:00,incoming,client,"Здравствуйте. Нужно записаться на Window tinting, машина Audi A6."
msg_00208,conv_0042,2026-06-03 14:18:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00608,conv_0124,2026-06-03 14:19:00,incoming,client,Добрый день. Сколько примерно стоит PPF elements на Skoda Octavia?
msg_00609,conv_0124,2026-06-03 14:22:00,outgoing,bot,"Сориентирую по цене, но сначала уточню авто и объём работ."
msg_00209,conv_0042,2026-06-03 14:35:00,incoming,client,"Отлично, тогда на связи."
msg_00210,conv_0042,2026-06-03 14:37:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_00610,conv_0124,2026-06-03 14:39:00,incoming,client,"Понял, спасибо."
msg_00611,conv_0124,2026-06-03 14:41:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_00612,conv_0124,2026-06-03 14:43:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00707,conv_0144,2026-06-03 14:59:00,incoming,client,Добрый день. Сколько примерно стоит Interior dry cleaning на Range Rover Sport?
msg_00708,conv_0144,2026-06-03 15:02:00,outgoing,bot,"Сориентирую по цене, но сначала уточню авто и объём работ."
msg_00709,conv_0144,2026-06-03 15:19:00,incoming,client,"Отлично, тогда на связи."
msg_00710,conv_0144,2026-06-03 15:21:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00818,conv_0166,2026-06-03 15:30:00,incoming,client,Добрый день. Сколько примерно стоит PPF elements на Geely Monjaro?
msg_00819,conv_0166,2026-06-03 15:33:00,outgoing,bot,"Сориентирую по цене, но сначала уточню авто и объём работ."
msg_00820,conv_0166,2026-06-03 15:50:00,incoming,client,"Хорошо, жду менеджера."
msg_00821,conv_0166,2026-06-03 15:52:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_00822,conv_0166,2026-06-03 15:54:00,incoming,client,"Понял, спасибо."
msg_00823,conv_0166,2026-06-03 15:56:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_01033,conv_0210,2026-06-03 16:48:00,incoming,client,"Здравствуйте. Подскажите, вы работаете в воскресенье?"
msg_01034,conv_0210,2026-06-03 16:51:00,outgoing,bot,"Да, работаем в воскресенье по предварительной записи."
msg_00942,conv_0191,2026-06-03 16:54:00,incoming,client,"Здравствуйте. Подскажите, вы работаете в воскресенье?"
msg_00943,conv_0191,2026-06-03 16:57:00,outgoing,bot,"Да, работаем в воскресенье по предварительной записи."
msg_01035,conv_0210,2026-06-03 17:08:00,incoming,client,"Отлично, тогда на связи."
msg_01036,conv_0210,2026-06-03 17:10:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00944,conv_0191,2026-06-03 17:14:00,incoming,client,"Понял, спасибо."
msg_00945,conv_0191,2026-06-03 17:16:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_01184,conv_0240,2026-06-03 18:01:00,incoming,client,"Здравствуйте. Нужно перенести запись, не успеваю приехать."
msg_01185,conv_0240,2026-06-03 18:04:00,outgoing,bot,"Понял. Я передам менеджеру запрос на перенос, он проверит запись и подтвердит."
msg_01186,conv_0240,2026-06-03 18:21:00,incoming,client,"Понял, спасибо."
msg_01187,conv_0240,2026-06-03 18:23:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_01188,conv_0240,2026-06-03 18:25:00,incoming,client,"Понял, спасибо."
msg_00434,conv_0089,2026-06-03 18:42:00,incoming,client,"Здравствуйте. Нужно записаться на Interior dry cleaning, машина Mercedes-Benz E-Class."
msg_00435,conv_0089,2026-06-03 18:45:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00436,conv_0089,2026-06-03 19:02:00,incoming,client,"Хорошо, жду менеджера."
msg_00437,conv_0089,2026-06-03 19:04:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_00438,conv_0089,2026-06-03 19:06:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00439,conv_0089,2026-06-03 19:08:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_00486,conv_0100,2026-06-04 09:05:00,incoming,client,"Здравствуйте. Нужно записаться на Ceramic coating, машина Toyota Camry."
msg_00487,conv_0100,2026-06-04 09:08:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00488,conv_0100,2026-06-04 09:25:00,incoming,client,"Хорошо, жду менеджера."
msg_00489,conv_0100,2026-06-04 09:27:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00490,conv_0100,2026-06-04 09:29:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00491,conv_0100,2026-06-04 09:31:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_01051,conv_0214,2026-06-04 10:13:00,incoming,client,"Здравствуйте. Нужно перенести запись, не успеваю приехать."
msg_01052,conv_0214,2026-06-04 10:16:00,outgoing,bot,"Понял. Я передам менеджеру запрос на перенос, он проверит запись и подтвердит."
msg_01053,conv_0214,2026-06-04 10:33:00,incoming,client,"Хорошо, жду менеджера."
msg_01054,conv_0214,2026-06-04 10:35:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_01055,conv_0214,2026-06-04 10:37:00,incoming,client,"Хорошо, жду менеджера."
msg_00182,conv_0037,2026-06-04 12:11:00,incoming,client,"Здравствуйте. Нужно записаться на Chrome delete, машина Tesla Model 3."
msg_00183,conv_0037,2026-06-04 12:14:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_01140,conv_0232,2026-06-04 12:18:00,incoming,client,"Здравствуйте. Нужно перенести запись, не успеваю приехать."
msg_01141,conv_0232,2026-06-04 12:21:00,outgoing,bot,"Понял. Я передам менеджеру запрос на перенос, он проверит запись и подтвердит."
msg_00184,conv_0037,2026-06-04 12:31:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00185,conv_0037,2026-06-04 12:33:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00186,conv_0037,2026-06-04 12:35:00,incoming,client,"Спасибо, подумаю и напишу."
msg_01142,conv_0232,2026-06-04 12:38:00,incoming,client,"Спасибо, подумаю и напишу."
msg_01143,conv_0232,2026-06-04 12:40:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00138,conv_0028,2026-06-04 12:51:00,incoming,client,"Здравствуйте. Нужно записаться на Detailing wash, машина Lexus RX."
msg_00139,conv_0028,2026-06-04 12:54:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00140,conv_0028,2026-06-04 13:11:00,incoming,client,"Понял, спасибо."
msg_00141,conv_0028,2026-06-04 13:13:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_00142,conv_0028,2026-06-04 13:15:00,incoming,client,"Хорошо, жду менеджера."
msg_00972,conv_0197,2026-06-04 16:20:00,incoming,client,"Здравствуйте. Подскажите, вы работаете в воскресенье?"
msg_00575,conv_0118,2026-06-04 16:23:00,incoming,client,Добрый день. Сколько примерно стоит Detailing wash на Geely Monjaro?
msg_00973,conv_0197,2026-06-04 16:23:00,outgoing,bot,"Да, работаем в воскресенье по предварительной записи."
msg_00576,conv_0118,2026-06-04 16:26:00,outgoing,bot,"Сориентирую по цене, но сначала уточню авто и объём работ."
msg_00245,conv_0050,2026-06-04 16:28:00,incoming,client,"Здравствуйте. Нужно записаться на PPF elements, машина Volkswagen Tiguan."
msg_00246,conv_0050,2026-06-04 16:31:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00293,conv_0059,2026-06-04 16:34:00,incoming,client,"Здравствуйте. Нужно записаться на Window tinting, машина Kia K5."
msg_00294,conv_0059,2026-06-04 16:37:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00974,conv_0197,2026-06-04 16:40:00,incoming,client,"Отлично, тогда на связи."
msg_00975,conv_0197,2026-06-04 16:42:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00577,conv_0118,2026-06-04 16:43:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00578,conv_0118,2026-06-04 16:45:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_00579,conv_0118,2026-06-04 16:47:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00247,conv_0050,2026-06-04 16:48:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00580,conv_0118,2026-06-04 16:49:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_00248,conv_0050,2026-06-04 16:50:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_00249,conv_0050,2026-06-04 16:52:00,incoming,client,"Отлично, тогда на связи."
msg_00250,conv_0050,2026-06-04 16:54:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00295,conv_0059,2026-06-04 16:54:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00296,conv_0059,2026-06-04 16:56:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_00542,conv_0111,2026-06-04 18:21:00,incoming,client,"Здравствуйте. Нужно записаться на Paint correction, машина Porsche Macan."
msg_00892,conv_0181,2026-06-04 18:21:00,incoming,client,"Здравствуйте. Подскажите, вы работаете в воскресенье?"
msg_00543,conv_0111,2026-06-04 18:24:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00893,conv_0181,2026-06-04 18:24:00,outgoing,bot,"Да, работаем в воскресенье по предварительной записи."
msg_00544,conv_0111,2026-06-04 18:41:00,incoming,client,"Понял, спасибо."
msg_00894,conv_0181,2026-06-04 18:41:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00545,conv_0111,2026-06-04 18:43:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_00895,conv_0181,2026-06-04 18:43:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_00546,conv_0111,2026-06-04 18:45:00,incoming,client,"Хорошо, жду менеджера."
msg_01014,conv_0206,2026-06-05 09:04:00,incoming,client,"Здравствуйте. Подскажите, вы работаете в воскресенье?"
msg_01015,conv_0206,2026-06-05 09:07:00,outgoing,bot,"Да, работаем в воскресенье по предварительной записи."
msg_01016,conv_0206,2026-06-05 09:24:00,incoming,client,"Понял, спасибо."
msg_01017,conv_0206,2026-06-05 09:26:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_01100,conv_0224,2026-06-05 10:09:00,incoming,client,"Здравствуйте. Нужно перенести запись, не успеваю приехать."
msg_01101,conv_0224,2026-06-05 10:12:00,outgoing,bot,"Понял. Я передам менеджеру запрос на перенос, он проверит запись и подтвердит."
msg_01102,conv_0224,2026-06-05 10:29:00,incoming,client,"Хорошо, жду менеджера."
msg_01103,conv_0224,2026-06-05 10:31:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_01104,conv_0224,2026-06-05 10:33:00,incoming,client,"Понял, спасибо."
msg_01105,conv_0224,2026-06-05 10:35:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_00143,conv_0029,2026-06-05 10:54:00,incoming,client,"Здравствуйте. Нужно записаться на Ceramic coating, машина Kia K5."
msg_00144,conv_0029,2026-06-05 10:57:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00850,conv_0172,2026-06-05 10:59:00,incoming,client,Добрый день. Сколько примерно стоит Detailing wash на Honda Accord 8?
msg_00851,conv_0172,2026-06-05 11:02:00,outgoing,bot,"Сориентирую по цене, но сначала уточню авто и объём работ."
msg_00145,conv_0029,2026-06-05 11:14:00,incoming,client,"Понял, спасибо."
msg_00146,conv_0029,2026-06-05 11:16:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00147,conv_0029,2026-06-05 11:18:00,incoming,client,"Понял, спасибо."
msg_00852,conv_0172,2026-06-05 11:19:00,incoming,client,"Понял, спасибо."
msg_00853,conv_0172,2026-06-05 11:21:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00773,conv_0157,2026-06-05 12:44:00,incoming,client,Добрый день. Сколько примерно стоит PPF elements на Skoda Octavia?
msg_00774,conv_0157,2026-06-05 12:47:00,outgoing,bot,"Сориентирую по цене, но сначала уточню авто и объём работ."
msg_00775,conv_0157,2026-06-05 13:04:00,incoming,client,"Понял, спасибо."
msg_00776,conv_0157,2026-06-05 13:06:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_00777,conv_0157,2026-06-05 13:08:00,incoming,client,"Понял, спасибо."
msg_00453,conv_0093,2026-06-05 14:07:00,incoming,client,"Здравствуйте. Нужно записаться на Ceramic coating, машина BMW X5."
msg_00454,conv_0093,2026-06-05 14:10:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00455,conv_0093,2026-06-05 14:24:00,outgoing,bot,"Уточните ещё раз телефон, чтобы я передал менеджеру."
msg_00456,conv_0093,2026-06-05 14:27:00,incoming,client,"Хорошо, жду менеджера."
msg_00457,conv_0093,2026-06-05 14:29:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00080,conv_0016,2026-06-05 16:07:00,incoming,client,"Здравствуйте. Нужно записаться на Paint correction, машина Lexus RX."
msg_00081,conv_0016,2026-06-05 16:10:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00082,conv_0016,2026-06-05 16:27:00,incoming,client,"Отлично, тогда на связи."
msg_00083,conv_0016,2026-06-05 16:29:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_00084,conv_0016,2026-06-05 16:31:00,incoming,client,"Понял, спасибо."
msg_00581,conv_0119,2026-06-05 17:19:00,incoming,client,Добрый день. Сколько примерно стоит Chrome delete на Toyota Camry?
msg_00582,conv_0119,2026-06-05 17:22:00,outgoing,bot,"Сориентирую по цене, но сначала уточню авто и объём работ."
msg_00268,conv_0054,2026-06-05 17:24:00,incoming,client,"Здравствуйте. Нужно записаться на Window tinting, машина Lexus RX."
msg_00269,conv_0054,2026-06-05 17:27:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00583,conv_0119,2026-06-05 17:39:00,incoming,client,"Отлично, тогда на связи."
msg_00336,conv_0068,2026-06-05 17:41:00,incoming,client,"Здравствуйте. Нужно записаться на Full PPF wrap, машина BMW X5."
msg_00584,conv_0119,2026-06-05 17:41:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_00585,conv_0119,2026-06-05 17:43:00,incoming,client,"Отлично, тогда на связи."
msg_00270,conv_0054,2026-06-05 17:44:00,incoming,client,"Отлично, тогда на связи."
msg_00337,conv_0068,2026-06-05 17:44:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
